Step,AvgWaitingTime,QueueLength
171,3.40625,12
172,3.2903225806451615,11
173,3.096774193548387,11
174,2.903225806451613,10
175,2.7096774193548385,10
176,3.032258064516129,10
177,3.0344827586206895,10
178,2.8275862068965516,9
179,2.814814814814815,8
180,2.5925925925925926,7
181,2.56,7
182,2.88,8
183,3.3333333333333335,8
184,3.52,9
185,4.0,8
186,4.333333333333333,8
187,4.869565217391305,9
188,5.217391304347826,8
189,5.818181818181818,8
190,5.913043478260869,9
191,6.545454545454546,8
192,6.909090909090909,8
193,7.2727272727272725,9
194,7.636363636363637,8
195,8.380952380952381,8
196,8.363636363636363,9
197,9.142857142857142,8
198,9.523809523809524,8
199,9.904761904761905,9
200,10.285714285714286,8
201,9.35,7
202,7.571428571428571,7
203,6.6,5
204,5.25,4
205,3.9,4
206,2.6,3
207,1.4736842105263157,2
208,0.2,3
209,0.3157894736842105,2
210,0.5,3
211,0.631578947368421,4
212,0.8888888888888888,4
213,1.1111111111111112,4
214,1.263157894736842,5
215,1.6111111111111112,5
216,1.8888888888888888,5
217,2.2222222222222223,7
218,2.611111111111111,7
219,3.176470588235294,7
220,3.388888888888889,8
221,4.0588235294117645,8
222,4.529411764705882,8
223,5.0,9
224,5.529411764705882,9
225,6.4375,9
226,6.588235294117647,10
227,7.625,10
228,8.25,10
229,8.9375,12
230,9.625,11
231,11.066666666666666,12
232,11.125,13
233,11.875,12
234,12.6875,13
235,12.705882352941176,14
236,13.529411764705882,14
237,14.411764705882353,15
238,14.444444444444445,16
239,15.277777777777779,15
240,16.166666666666668,16
241,14.263157894736842,16
242,13.263157894736842,15
243,12.263157894736842,14
244,11.263157894736842,13
245,10.368421052631579,13
246,9.526315789473685,13
247,8.631578947368421,12
248,7.7894736842105265,11
249,7.0,10
250,7.526315789473684,10
251,6.7368421052631575,9
252,5.947368421052632,8
253,5.157894736842105,7
254,4.421052631578948,6
255,3.6842105263157894,5
256,2.8947368421052633,4
257,2.1578947368421053,3
258,2.4444444444444446,3
259,1.7058823529411764,2
260,0.8823529411764706,1
261,0.0,0
262,0.0,0
263,0.0,0
264,0.0,1
265,0.0,0
266,0.0,0
267,0.0,1
268,0.0,0
269,0.0,0
270,0.0,0
271,0.0,0
272,0.0,0
273,0.0,0
274,0.0,0
275,0.0,0
276,0.0,0
277,0.0,0
278,0.0,0
279,0.0,0
280,0.0,0
281,0.0,0
282,0.1111111111111111,1
283,0.25,1
284,0.42857142857142855,1
285,0.7142857142857143,2
286,1.1666666666666667,2
287,1.5,2
288,2.2,2
289,2.6,2
290,3.75,2
291,4.25,2
292,6.333333333333333,2
293,7.0,2
294,11.5,2
295,12.5,2
296,13.5,2
297,14.5,2
298,15.5,2
299,16.5,2
