Step,AvgWaitingTime,QueueLength
0,0.0,4
1,0.0,0
2,0.0,0
3,0.0,2
4,0.0,0
5,0.0,0
6,0.0,3
7,0.0,0
8,0.0,1
9,0.0,2
10,0.0,0
11,0.0,0
12,0.0,3
13,0.0,0
14,0.0,0
15,0.0,2
16,0.0,1
17,0.05555555555555555,1
18,0.14285714285714285,5
19,0.23809523809523808,2
20,0.3333333333333333,2
21,0.43478260869565216,5
22,0.5652173913043478,3
23,0.7391304347826086,4
24,0.7777777777777778,8
25,0.9259259259259259,4
26,1.1481481481481481,6
27,1.2758620689655173,8
28,1.5172413793103448,7
29,1.8888888888888888,7
30,1.9666666666666666,11
31,2.2333333333333334,8
32,2.533333333333333,10
33,2.6875,12
34,3.0,10
35,3.4516129032258065,11
36,3.5757575757575757,13
37,3.909090909090909,12
38,4.2727272727272725,12
39,4.666666666666667,14
40,4.9411764705882355,15
41,4.0606060606060606,14
42,3.176470588235294,12
43,2.5294117647058822,9
44,2.085714285714286,11
45,1.7777777777777777,9
46,1.5555555555555556,8
47,1.3888888888888888,9
48,1.1538461538461537,11
49,1.0769230769230769,8
50,0.9743589743589743,8
51,0.875,8
52,1.131578947368421,8
53,1.1578947368421053,11
54,1.1538461538461537,10
55,1.175,10
56,1.2195121951219512,9
57,1.475,10
58,1.6,10
59,1.75,11
60,1.9,10
61,2.1025641025641026,9
62,2.3333333333333335,10
63,2.6578947368421053,10
64,3.0,10
65,3.236842105263158,14
66,3.5789473684210527,14
67,3.9210526315789473,13
68,4.2631578947368425,14
69,4.631578947368421,16
70,5.026315789473684,15
71,5.447368421052632,17
72,5.6,19
73,6.025,18
74,6.2926829268292686,18
75,6.925,19
76,7.4,19
77,7.875,21
78,8.170731707317072,21
79,8.658536585365853,21
80,8.767441860465116,24
81,7.761904761904762,20
82,6.761904761904762,20
83,5.659090909090909,21
84,4.8,18
85,4.2,16
86,3.7954545454545454,17
87,3.409090909090909,14
88,3.2790697674418605,14
89,2.909090909090909,15
90,2.75,14
91,2.6136363636363638,14
92,2.4,15
93,2.2666666666666666,12
94,2.227272727272727,12
95,2.466666666666667,14
96,2.3260869565217392,13
97,2.340909090909091,11
98,2.2222222222222223,12
99,2.2790697674418605,11
100,2.2325581395348837,10
101,2.5476190476190474,12
102,2.8095238095238093,11
103,3.25,12
104,3.380952380952381,14
105,3.7804878048780486,14
106,4.097560975609756,13
107,4.55,15
108,4.925,15
109,5.435897435897436,15
110,5.725,19
111,6.333333333333333,18
112,6.625,19
113,7.256410256410256,19
114,7.717948717948718,19
115,8.421052631578947,19
116,8.921052631578947,20
117,9.447368421052632,21
118,10.0,21
119,10.864864864864865,23
120,11.157894736842104,24
121,9.842105263157896,21
122,8.35897435897436,20
123,7.025,20
124,6.0,17
125,5.175,15
126,4.425,15
127,3.825,13
128,3.4,12
129,3.075,12
130,2.8,11
131,2.525,11
132,2.1707317073170733,10
133,1.975,8
134,1.775,8
135,1.975,9
136,1.7692307692307692,7
137,1.5384615384615385,7
138,1.3,8
139,1.2105263157894737,7
140,1.105263157894737,8
141,1.3513513513513513,9
142,1.5945945945945945,9
143,1.9428571428571428,9
144,2.138888888888889,10
145,2.5294117647058822,9
146,2.7714285714285714,12
147,3.176470588235294,12
148,3.5588235294117645,13
149,4.0606060606060606,14
150,4.454545454545454,13
151,5.03125,15
152,5.303030303030303,15
153,6.129032258064516,15
154,6.580645161290323,16
155,7.064516129032258,15
156,7.580645161290323,17
157,7.84375,17
158,8.64516129032258,17
159,8.9375,19
160,9.5,19
161,8.28125,17
162,7.0625,16
163,5.878787878787879,15
164,5.09375,12
165,4.545454545454546,14
166,4.0,13
167,3.727272727272727,12
168,3.5625,13
169,3.1818181818181817,13
170,3.03125,11
